DB00544,hsa-mir-19a
DB01262,hsa-mir-19a
DB01169,hsa-mir-19a
DB00710,hsa-mir-19a
DB03843,hsa-mir-19a
DB00928,hsa-mir-19a
DB00169,hsa-mir-19a
DB03843,hsa-mir-19b
DB00396,hsa-mir-19b
DB00928,hsa-mir-19b-1
DB00544,hsa-mir-20
DB00755,hsa-mir-200
DB00755,hsa-mir-200a
DB00783,hsa-mir-200a
DB01128,hsa-mir-200a
DB00014,hsa-mir-200a
DB00755,hsa-mir-200b
DB00544,hsa-mir-200b
DB02546,hsa-mir-200b
DB00783,hsa-mir-200b
DB00331,hsa-mir-200b
DB01249,hsa-mir-200b
DB01128,hsa-mir-200b
DB00014,hsa-mir-200b
DB00755,hsa-mir-200c
DB00783,hsa-mir-200c
DB00544,hsa-mir-200c
DB01169,hsa-mir-200c
DB00331,hsa-mir-200c
DB00441,hsa-mir-202
DB00783,hsa-mir-203
DB00255,hsa-mir-203
DB00928,hsa-mir-203
DB00544,hsa-mir-203
DB01169,hsa-mir-203
DB00014,hsa-mir-203
DB00169,hsa-mir-203
DB00441,hsa-mir-204
DB00515,hsa-mir-204
DB01128,hsa-mir-204
DB00441,hsa-mir-205
DB00467,hsa-mir-205
DB00544,hsa-mir-2052
DB02546,hsa-mir-206
DB01200,hsa-mir-206
DB00544,hsa-mir-206
DB00441,hsa-mir-207
DB00907,hsa-mir-20a
DB01262,hsa-mir-20a
DB00255,hsa-mir-20a
DB00928,hsa-mir-20a
DB00396,hsa-mir-20a
DB03843,hsa-mir-20a
DB00136,hsa-mir-20b
DB01262,hsa-mir-20b
DB00255,hsa-mir-20b
DB03843,hsa-mir-20b
DB01169,hsa-mir-20b
DB01611,hsa-mir-21
DB00635,hsa-mir-21
DB00441,hsa-mir-21
DB00184,hsa-mir-21
DB00536,hsa-mir-21
DB01268,hsa-mir-21
DB00544,hsa-mir-21
DB00997,hsa-mir-21
DB00783,hsa-mir-21
DB00773,hsa-mir-21
DB00313,hsa-mir-21
DB02901,hsa-mir-21
DB00755,hsa-mir-21
DB03843,hsa-mir-21
DB00467,hsa-mir-21
DB01169,hsa-mir-21
DB01262,hsa-mir-21
DB00515,hsa-mir-21
DB00396,hsa-mir-21
DB00853,hsa-mir-21
DB00295,hsa-mir-21
DB00541,hsa-mir-210
DB00480,hsa-mir-210
DB01169,hsa-mir-210
DB00544,hsa-mir-210
DB01262,hsa-mir-210
DB01128,hsa-mir-210
DB00014,hsa-mir-210
DB00853,hsa-mir-210
DB00441,hsa-mir-211
DB00783,hsa-mir-211
DB00544,hsa-mir-2116
DB00126,hsa-mir-2117
DB00441,hsa-mir-212
DB00467,hsa-mir-212
DB01169,hsa-mir-212
DB00619,hsa-mir-212
DB00396,hsa-mir-212
DB00907,hsa-mir-212
DB00441,hsa-mir-213
DB00997,hsa-mir-213
DB00255,hsa-mir-213
DB01262,hsa-mir-214
DB01169,hsa-mir-214
DB03843,hsa-mir-215
DB01169,hsa-mir-215
DB00783,hsa-mir-216
DB00441,hsa-mir-217
DB01169,hsa-mir-218
DB00544,hsa-mir-218
DB01128,hsa-mir-218
DB00255,hsa-mir-218-2
DB00898,hsa-mir-219
DB00398,hsa-mir-219-1
DB00853,hsa-mir-219-1
DB01169,hsa-mir-22
DB01262,hsa-mir-22
DB00255,hsa-mir-22
DB02901,hsa-mir-22
DB00755,hsa-mir-22
DB00169,hsa-mir-22
DB00997,hsa-mir-22
DB02546,hsa-mir-22
DB00441,hsa-mir-220
DB00396,hsa-mir-220b
DB01268,hsa-mir-221
DB01169,hsa-mir-221
